Date,Amount,Description
12/31/2024,5.35,"DOLLAR TREE LAKE PARK    ,FL"
12/30/2024,44.13,"BJS WHOLESALE #0032 ROYAL PALM BE,FL"
12/28/2024,12.60,"ALDI 77013 LAKE PARK    ,FL"
12/7/2024,-10.00,"TARGET        00019414 WEST PALM BEA,FL"
12/6/2024,356.30,"Samsung 800-7267864  ,NJ"
12/2/2024,114.58,"TARGET        00024273 WEST PALM BEA,FL"
11/29/2024,121.45,"VERIZON*DIGITAL CHAT E 800-922-0204 ,FL"
11/29/2024,74.47,"JCPENNEY 2789 WELLINGTON   ,FL"
11/18/2024,8.03,"DOLLAR TREE WEST PALM BEA,FL"
10/31/2024,6.89,"BURGER KING #4511 MRODRIGUEZ@RB,FL"
10/26/2024,16.00,"93580-ATLANTA AIRPORT ATL ATLANTA      ,GA"
10/18/2024,34.21,"BURLINGTON STORES 1554 WEST PALM BEA,FL"
10/18/2024,40.63,"OLD NAVY US 7208 WEST PALM BEA,FL"
10/10/2024,49.00,"HOMEAGLOW S10OCT FCMEM CLEANINGBILL.,TX"
9/26/2024,56.25,"B2P*TAX COLLECT PALM BCH WEST PALM BEA,FL"
9/24/2024,56.25,"B2P*TAX COLLECT PALM BCH WEST PALM BEA,FL"
9/22/2024,41.43,"BJS WHOLESALE #0032 ROYAL PALM BE,FL"
9/20/2024,20.00,"BJS MEMBERSHIP 0996 800-257-2582 ,MA"
9/10/2024,49.00,"HOMEAGLOW A10SEP FCMEM CLEANINGBILL.,TX"
9/3/2024,47.08,"MINT ECO CAR WASH - OKEE WEST PALM BEA,FL"
9/3/2024,1.07,"MINT ECO CAR WASH - OKEE 561-478-5650 ,FL"
9/3/2024,215.00,"PURE ATHLETE SPORTS WWW.PUREATHLE,FL"
8/31/2024,3.97,"WM SUPERCENTER #3348 LAKE PARK    ,FL"
8/18/2024,"1,080.80","TURO INC.* TRIP OCT 26 HTTPSTURO.COM,CA"
8/17/2024,16.04,"PANERA SIP CLUB 204715 O 330-856-3176 ,FL"
8/14/2024,2.60,"PRIMO WATER 1-844-23PRIMO HUNT VALLEY  ,MD"
8/10/2024,49.00,"HOMEAGLOW I10AUG FCMEM CLEANINGBILL.,TX"
8/9/2024,26.24,"WM SUPERCENTER #3348 LAKE PARK    ,FL"
8/3/2024,1.00,"MINT ECO CAR WASH - OKEE 561-478-5650 ,FL"
7/29/2024,1.00,"MINT ECO CAR WASH - OKEE WEST PALM BEA,FL"
7/23/2024,5.34,"BURGER KING #4451 glenn@phoenix,FL"
7/23/2024,20.08,"COSTCO WHSE #0093 PALM BEACH GA,FL"
7/10/2024,49.00,"HOMEAGLOW 10JUL FC MEM CLEANINGBILL.,TX"
7/8/2024,57.78,"CINEPOLIS JUPITER JUPITER      ,FL"
7/8/2024,-74.19,"PROGRESSIVE *INSURANCE 800-776-4737 ,OH"
7/3/2024,991.00,"PROGRESSIVE *INSURANCE 800-776-4737 ,OH"
6/22/2024,33.79,"COSTCO WHSE #0623 ROYAL PALM BE,FL"
